ID,FID,MID
B0003350,0,0
B0003389,0,0
B0003436,0,0
B0003467,0,0
B0003509,0,0
B0003553,0,0
B0003583,0,0
B0003631,0,0
B0003710,0,0
B0003548,0,0
B0003549,0,0
B0003550,0,0
B0003551,0,0
B0003552,0,0
B0003603,0,B0003583
B0003602,0,B0003583
B0003584,0,B0003583
B0003604,0,B0003583
B0003586,0,B0003583
B0003587,0,B0003583
B0003588,0,B0003583
B0003589,0,B0003583
B0003590,0,B0003583
B0003591,0,B0003583
B0003596,0,B0003583
B0003597,0,B0003583
B0003598,0,B0003583
B0003599,0,B0003583
B0003600,0,B0003583
B0003601,0,B0003583
B0003606,0,B0003583
B0003607,0,B0003583
B0003608,0,B0003583
B0003605,0,B0003583
B0003610,0,B0003583
B0003611,0,B0003583
B0003612,0,B0003583
B0003609,0,B0003583
B0003630,0,B0003583
B0003592,0,B0003583
B0003593,0,B0003583
B0003613,0,B0003583
B0003595,0,B0003583
B0003594,0,B0003583
B0000003351,0,B0003350
B0003352,0,B0003350
B0003353,0,B0003350
B0003354,0,B0003350
B0003367,0,B0003350
B0003368,0,B0003350
B0003369,0,B0003350
B0003370,0,B0003350
B0003371,0,B0003350
B0003372,0,B0003350
B0003373,0,B0003350
B0003374,0,B0003350
B0003375,0,B0003350
B0003355,0,B0003350
B0003356,0,B0003350
B0003357,0,B0003350
B0003366,0,B0003350
B0003380,0,B0003350
B0003381,0,B0003350
B0003382,0,B0003350
B0003383,0,B0003350
B0003384,0,B0003350
B0003385,0,B0003350
B0003386,0,B0003350
B0003387,0,B0003350
B0003388,0,B0003350
B0003376,0,B0003350
B0003377,0,B0003350
B0003378,0,B0003350
B0003379,0,B0003350
B0003394,0,B0003389
B0003395,0,B0003389
B0003396,0,B0003389
B0003397,0,B0003389
B0003414,0,B0003389
B0003415,0,B0003389
B0003416,0,B0003389
B0003417,0,B0003389
B0003418,0,B0003389
B0003419,0,B0003389
B0003420,0,B0003389
B0003421,0,B0003389
B0003422,0,B0003389
B0003423,0,B0003389
B0003424,0,B0003389
B0003425,0,B0003389
B0003426,0,B0003389
B0003427,0,B0003389
B0003428,0,B0003389
B0003429,0,B0003389
B0003430,0,B0003389
B0003431,0,B0003389
B0003432,0,B0003389
B0003433,0,B0003389
B0003434,0,B0003389
B0003435,0,B0003389
B0003393,0,B0003389
B0003390,0,B0003389
B0003391,0,B0003389
B0003392,0,B0003389
B0003520,0,B0003509
B0003521,0,B0003509
B0003522,0,B0003509
B0003510,0,B0003509
B0003515,0,B0003509
B0003516,0,B0003509
B0003517,0,B0003509
B0003518,0,B0003509
B0003519,0,B0003509
B0003533,0,B0003509
B0003542,0,B0003509
B0003543,0,B0003509
B0003523,0,B0003509
B0003511,0,B0003509
B0003512,0,B0003509
B0003513,0,B0003509
B0003514,0,B0003509
B0003528,0,B0003509
B0003529,0,B0003509
B0003530,0,B0003509
B0003531,0,B0003509
B0003532,0,B0003509
B0003524,0,B0003509
B0003525,0,B0003509
B0003526,0,B0003509
B0003544,0,B0003509
B0003547,0,B0003509
B0003545,0,B0003509
B0003527,0,B0003509
B0003546,0,B0003509
B0003562,0,B0003553
B0003561,0,B0003553
B0003556,0,B0003553
B0003563,0,B0003553
B0003555,0,B0003553
B0003560,0,B0003553
B0003557,0,B0003553
B0003558,0,B0003553
B0003559,0,B0003553
B0003564,0,B0003553
B0003574,0,B0003553
B0003575,0,B0003553
B0003576,0,B0003553
B0003568,0,B0003553
B0003569,0,B0003553
B0003570,0,B0003553
B0003571,0,B0003553
B0003572,0,B0003553
B0003573,0,B0003553
B0003565,0,B0003553
B0003566,0,B0003553
B0003567,0,B0003553
B0003577,0,B0003553
B0003582,0,B0003553
B0003578,0,B0003553
B0003585,0,B0003553
B0003581,0,B0003553
B0003554,0,B0003553
B0003579,0,B0003553
B0003580,0,B0003553
B0003438,0,B0003436
B0003442,0,B0003436
B0003439,0,B0003436
B0003440,0,B0003436
B0003441,0,B0003436
B0003446,0,B0003436
B0003443,0,B0003436
B0003444,0,B0003436
B0003445,0,B0003436
B0003437,0,B0003436
B0003451,0,B0003436
B0003452,0,B0003436
B0003453,0,B0003436
B0003454,0,B0003436
B0003455,0,B0003436
B0003456,0,B0003436
B0003457,0,B0003436
B0003458,0,B0003436
B0003459,0,B0003436
B0003460,0,B0003436
B0003461,0,B0003436
B0003462,0,B0003436
B0003463,0,B0003436
B0003464,0,B0003436
B0003465,0,B0003436
B0003466,0,B0003436
B0003448,0,B0003436
B0003449,0,B0003436
B0003450,0,B0003436
B0003447,0,B0003436
B0003468,0,B0003467
B0003469,0,B0003467
B0003470,0,B0003467
B0003471,0,B0003467
B0003472,0,B0003467
B0003473,0,B0003467
B0003474,0,B0003467
B0003479,0,B0003467
B0003480,0,B0003467
B0003481,0,B0003467
B0003482,0,B0003467
B0003483,0,B0003467
B0003484,0,B0003467
B0003485,0,B0003467
B0003494,0,B0003467
B0003495,0,B0003467
B0003475,0,B0003467
B0003476,0,B0003467
B0003477,0,B0003467
B0003478,0,B0003467
B0003500,0,B0003467
B0003501,0,B0003467
B0003502,0,B0003467
B0003503,0,B0003467
B0003504,0,B0003467
B0003505,0,B0003467
B0003496,0,B0003467
B0003497,0,B0003467
B0003498,0,B0003467
B0003499,0,B0003467
B0003708,0,B0003631
B0003709,0,B0003631
B0003707,0,B0003631
B0003632,0,B0003631
B0003633,0,B0003631
B0003634,0,B0003631
B0003635,0,B0003631
B0003664,0,B0003631
B0003665,0,B0003631
B0003666,0,B0003631
B0003667,0,B0003631
B0003668,0,B0003631
B0003669,0,B0003631
B0003686,0,B0003631
B0003687,0,B0003631
B0003688,0,B0003631
B0003636,0,B0003631
B0003637,0,B0003631
B0003662,0,B0003631
B0003663,0,B0003631
B0003693,0,B0003631
B0003702,0,B0003631
B0003703,0,B0003631
B0003704,0,B0003631
B0003705,0,B0003631
B0003706,0,B0003631
B0003689,0,B0003631
B0003690,0,B0003631
B0003691,0,B0003631
B0003692,0,B0003631
B0003506,0,B0003710
B0003507,0,B0003710
B0003508,0,B0003710
B0003711,0,B0003710
B0003716,0,B0003710
B0003717,0,B0003710
B0003718,0,B0003710
B0003719,0,B0003710
B0003720,0,B0003710
B0003721,0,B0003710
B0003722,0,B0003710
B0003723,0,B0003710
B0003724,0,B0003710
B0003712,0,B0003710
B0003713,0,B0003710
B0003714,0,B0003710
B0003715,0,B0003710
B0003729,0,B0003710
B0003730,0,B0003710
B0003731,0,B0003710
B0003732,0,B0003710
B0003733,0,B0003710
B0003742,0,B0003710
B0003743,0,B0003710
B0003744,0,B0003710
B0003745,0,B0003710
B0003725,0,B0003710
B0003726,0,B0003710
B0003727,0,B0003710
B0003728,0,B0003710
